Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Slow Cooker Chicken Mole,289,6,9.2 ,28.1,28.3 ,59 ,290 ,Healthy,https://www.allrecipes.com/recipe/217186/slow-cooker-chicken-mole/
Good 100% Whole Wheat Bread,124,12,1.9 ,24,4.7 ,< 1 ,314 ,Healthy,https://www.allrecipes.com/recipe/6963/good-100-whole-wheat-bread/
Chicken and Broccoli Pasta,368,8,7.7 ,51,23.5 ,34 ,296 ,Healthy,https://www.allrecipes.com/recipe/17670/chicken-and-broccoli-pasta/
Spicy Eggplant,212,6,10.3 ,29.9,5 ,0 ,445 ,Healthy,https://www.allrecipes.com/recipe/215026/spicy-eggplant/
Angel's Pasta,201,6,6.6 ,26.9,10.1 ,12 ,202 ,Healthy,https://www.allrecipes.com/recipe/18351/angels-pasta/
Johnny's Spice Rub,12,25,0.4 ,2.2,0.5 ,0 ,284 ,Healthy,https://www.allrecipes.com/recipe/16100/johnnys-spice-rub/
Easy Garlic and Rosemary Chicken,147,2,2 ,3.7,27.6 ,68 ,79 ,Healthy,https://www.allrecipes.com/recipe/8844/easy-garlic-and-rosemary-chicken/
Slow Cooker Balsamic Chicken,200,6,6.8 ,17.6,18.6 ,43 ,223 ,Healthy,https://www.allrecipes.com/recipe/234664/slow-cooker-balsamic-chicken/
"Savory Kale, Cannellini Bean, and Potato Soup",262,6,5.4 ,38.8,8.2 ,2 ,245 ,Healthy,https://www.allrecipes.com/recipe/187924/savory-kale-cannellini-bean-and-potato-soup/
Spicy Italian Pork Cutlets,260,4,18.7 ,3.5,16.1 ,39 ,107 ,Healthy,https://www.allrecipes.com/recipe/68860/spicy-italian-pork-cutlets/
Roasted and Curried Butternut Squash Soup,142,8,1.2 ,31.1,4.9 ,2 ,377 ,Healthy,https://www.allrecipes.com/recipe/22956/roasted-and-curried-butternut-squash-soup/
Best Bean Salad,167,18,6.5 ,23.6,4.4 ,0 ,412 ,Healthy,https://www.allrecipes.com/recipe/94055/best-bean-salad/
Spanish-Style Quinoa,126,8,4.9 ,17.5,3.7 ,0 ,154 ,Healthy,https://www.allrecipes.com/recipe/151343/spanish-style-quinoa/
Paleo Teriyaki Stir-Fry Zoodles (Gluten Free),165,2,7.7 ,21.5,6.5 ,0 ,461 ,Low Calorie,https://www.allrecipes.com/recipe/246527/paleo-teriyaki-stir-fry-zoodles-gluten-free/
Beer Lime Grilled Chicken,182,4,2.9 ,7,25.2 ,67 ,63 ,Low Calorie,https://www.allrecipes.com/recipe/62423/beer-lime-grilled-chicken/
Zucchini Boats on the Grill,120,4,6.3 ,9,8.2 ,18 ,502 ,Low Calorie,https://www.allrecipes.com/recipe/72788/zucchini-boats-on-the-grill/
Steamed Broccoli and Carrots with Lemon,35,2,0.3 ,8.1,1.7 ,0 ,497 ,Low Calorie,https://www.allrecipes.com/recipe/241492/steamed-broccoli-and-carrots-with-lemon/
Thai Beef,183,6,4.9 ,20.4,14.6 ,25 ,634 ,Low Calorie,https://www.allrecipes.com/recipe/234642/thai-beef/
Chicken with Ginger Pesto,201,8,9.2 ,3.5,22.6 ,59 ,926 ,Low Calorie,https://www.allrecipes.com/recipe/211466/chicken-with-ginger-pesto/
Grilled Pineapple Slices,92,8,1.6 ,20.4,0.5 ,0 ,2 ,Low Calorie,https://www.allrecipes.com/recipe/71315/grilled-pineapple-slices/
Szechwan Shrimp,142,4,4.4 ,6.7,18.3 ,164 ,500 ,Low Calorie,https://www.allrecipes.com/recipe/86230/szechwan-shrimp/
Roasted Garlic Cauliflower,118,6,8.2 ,8.6,4.7 ,4 ,111 ,Low Calorie,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/
Baked Asparagus with Balsamic Butter Sauce,77,4,5.9 ,4.9,2.8 ,15 ,308 ,Low Calorie,https://www.allrecipes.com/recipe/59671/baked-asparagus-with-balsamic-butter-sauce/
Lemon Garlic Tilapia,142,4,4.4 ,1.4,23.1 ,49 ,93 ,Low Calorie,https://www.allrecipes.com/recipe/89261/lemon-garlic-tilapia/
Spaghetti Squash I,147,6,9.8 ,12.8,4.1 ,17 ,269 ,Low Calorie,https://www.allrecipes.com/recipe/13948/spaghetti-squash-i/
Honey Roasted Red Potatoes,156,4,6.2 ,23.4,2.5 ,15 ,88 ,Low Calorie,https://www.allrecipes.com/recipe/18293/honey-roasted-red-potatoes/
Red Lentil Curry,192,8,2.6 ,32.5,12.1 ,0 ,572 ,Low Calorie,https://www.allrecipes.com/recipe/16641/red-lentil-curry/
Authentic German Potato Salad,183,4,3.9 ,32.2,5.4 ,10 ,796 ,Low Calorie,https://www.allrecipes.com/recipe/83097/authentic-german-potato-salad/
Adrienne's Cucumber Salad,99,8,0.2 ,24.9,1.1 ,0 ,4 ,Low Calorie,https://www.allrecipes.com/recipe/52047/adriennes-cucumber-salad/
Mexican Rice III,158,6,2.8 ,29.1,3.4 ,1 ,631 ,Low Calorie,https://www.allrecipes.com/recipe/73303/mexican-rice-iii/
Fast and Friendly Meatballs,218,6,13.5 ,4.6,18.5 ,106 ,218 ,Low Calorie,https://www.allrecipes.com/recipe/85148/fast-and-friendly-meatballs/
Acorn Squash,189,2,6 ,35.8,1.8 ,15 ,51 ,Low Calorie,https://www.allrecipes.com/recipe/16796/acorn-squash/
Sauteed Garlic Asparagus,102,4,8.8 ,5.2,2.7 ,23 ,64 ,Low Calorie,https://www.allrecipes.com/recipe/92845/sauteed-garlic-asparagus/
Homemade Crispy Seasoned French Fries,192,8,3.1 ,37.8,3.9 ,0 ,751 ,Low Calorie,https://www.allrecipes.com/recipe/50223/homemade-crispy-seasoned-french-fries/
Candied Carrots,150,4,6 ,24.5,1.2 ,15 ,123 ,Low Calorie,https://www.allrecipes.com/recipe/18241/candied-carrots/
Sweet and Spicy Green Beans,59,4,2.4 ,8.6,2.1 ,0 ,513 ,Low Calorie,https://www.allrecipes.com/recipe/74350/sweet-and-spicy-green-beans/
Coconut Curry Tofu,232,6,13.2 ,16.9,16.5 ,0 ,680 ,Low Calorie,https://www.allrecipes.com/recipe/45688/coconut-curry-tofu/
Maple Dill Carrots,117,4,6 ,16.1,1 ,15 ,401 ,Low Calorie,https://www.allrecipes.com/recipe/87694/maple-dill-carrots/
Green Bean and Mushroom Medley,103,6,7.9 ,7.7,1.9 ,20 ,610 ,Low Calorie,https://www.allrecipes.com/recipe/25285/green-bean-and-mushroom-medley/
Ginger Veggie Stir-Fry,119,6,9.3 ,8,2.2 ,0 ,903 ,Low Calorie,https://www.allrecipes.com/recipe/24712/ginger-veggie-stir-fry/
Cowboy Mashed Potatoes,175,10,7.3 ,24.6,4.7 ,19 ,108 ,Low Calorie,https://www.allrecipes.com/recipe/18275/cowboy-mashed-potatoes/
Smothered Green Beans,97,6,5.4 ,7,6.2 ,14 ,343 ,Low Calorie,https://www.allrecipes.com/recipe/18329/smothered-green-beans/
Asparagus with Parmesan Crust,93,4,5.6 ,7,5.3 ,6 ,114 ,Low Calorie,https://www.allrecipes.com/recipe/34946/asparagus-with-parmesan-crust/
Japanese Zucchini and Onions,110,4,8.2 ,8.1,2.7 ,0 ,581 ,Low Calorie,https://www.allrecipes.com/recipe/87651/japanese-zucchini-and-onions/
Southern Fried Cabbage,189,6,14.2 ,13.6,4.4 ,5 ,528 ,Low Calorie,https://www.allrecipes.com/recipe/73833/southern-fried-cabbage/
Green Bean Casserole I,168,6,10.3 ,15.2,3 ,2 ,851 ,Low Calorie,https://www.allrecipes.com/recipe/13660/green-bean-casserole-i/
Orange Glazed Carrots,136,4,5.9 ,20.8,0.9 ,15 ,131 ,Low Calorie,https://www.allrecipes.com/recipe/24773/orange-glazed-carrots/
Sweet and Spicy Stir Fry with Chicken and Broccoli,156,4,6.2 ,10.9,15.9 ,36 ,606 ,Low Calorie,https://www.allrecipes.com/recipe/70585/sweet-and-spicy-stir-fry-with-chicken-and-broccoli/
Mediterranean Chicken,222,6,6.2 ,7.2,28.6 ,68 ,268 ,Low Calorie,https://www.allrecipes.com/recipe/15486/mediterranean-chicken/
Crunchy Oven Fried Tilapia,209,4,2.1 ,18,27.5 ,42 ,274 ,Low Calorie,https://www.allrecipes.com/recipe/70855/crunchy-oven-fried-tilapia/
Baingan Bharta (Eggplant Curry),146,4,8 ,15.2,4 ,2 ,739 ,Low Calorie,https://www.allrecipes.com/recipe/47564/baingan-bharta-eggplant-curry/
Baked Tofu Bites,168,4,8.8 ,12.8,12.7 ,0 ,1002 ,Low Calorie,https://www.allrecipes.com/recipe/86313/baked-tofu-bites/
Moroccan Tagine,265,6,4.3 ,44.7,14.1 ,20 ,878 ,Low Calorie,https://www.allrecipes.com/recipe/69633/moroccan-tagine/
Baked Whole Cauliflower,149,6,8.7 ,14.7,5 ,2 ,380 ,Low Calorie,https://www.allrecipes.com/recipe/49262/baked-whole-cauliflower/
Artichoke and Sun-Dried Tomato Chicken,228,4,6.5 ,11.4,30.5 ,68 ,866 ,Low Calorie,https://www.allrecipes.com/recipe/84590/artichoke-and-sun-dried-tomato-chicken/
Tasty Collard Greens,142,10,7.9 ,10.6,9.6 ,23 ,689 ,Low Calorie,https://www.allrecipes.com/recipe/31478/tasty-collard-greens/
Dad's Pan-Fried Green Beans,73,6,4.6 ,7.5,1.9 ,0 ,271 ,Low Calorie,https://www.allrecipes.com/recipe/100800/dads-pan-fried-green-beans/
Fish in Foil,213,2,10.9 ,7.5,24.3 ,67 ,1850 ,Low Calorie,https://www.allrecipes.com/recipe/21306/fish-in-foil/
Roasted Asparagus with Parmesan,46,4,1.7 ,4.7,4.4 ,4 ,660 ,Low Calorie,https://www.allrecipes.com/recipe/220195/roasted-asparagus-with-parmesan/
Pat's Mushroom Saute,94,4,7.9 ,5.3,2.3 ,15 ,46 ,Low Calorie,https://www.allrecipes.com/recipe/22415/pats-mushroom-saute/
Ten Minute Szechuan Chicken,206,4,4.9 ,10.1,28.7 ,68 ,745 ,Low Calorie,https://www.allrecipes.com/recipe/49014/ten-minute-szechuan-chicken/
Lemon Pepper Green Beans,81,6,5.9 ,6.3,2.3 ,10 ,186 ,Low Calorie,https://www.allrecipes.com/recipe/25248/lemon-pepper-green-beans/
Oven Roasted Red Potatoes and Asparagus,149,6,4.9 ,23.5,4.2 ,0 ,651 ,Low Calorie,https://www.allrecipes.com/recipe/60924/oven-roasted-red-potatoes-and-asparagus/
Slow Cooker Chicken with Mushroom Wine Sauce,208,4,7.1 ,7.6,24.9 ,61 ,956 ,Low Calorie,https://www.allrecipes.com/recipe/25363/slow-cooker-chicken-with-mushroom-wine-sauce/
Moroccan Chicken,286,4,3.7 ,27.9,36 ,67 ,2128 ,Low Calorie,https://www.allrecipes.com/recipe/18182/moroccan-chicken/
Fabulous Fried Cabbage,66,6,1.7 ,11.8,2.9 ,5 ,384 ,Low Calorie,https://www.allrecipes.com/recipe/100811/fabulous-fried-cabbage/
Crispy Cucumbers and Tomatoes in Dill Dressing,71,6,4.7 ,6.7,1 ,0 ,199 ,Low Calorie,https://www.allrecipes.com/recipe/21165/crispy-cucumbers-and-tomatoes-in-dill-dressing/
Fried Onion Rings,126,12,7.5 ,11.9,1.6 ,0 ,2 ,Low Calorie,https://www.allrecipes.com/recipe/18284/fried-onion-rings/
Spicy Basil Chicken,244,4,9.4 ,11.9,28.2 ,69 ,656 ,Low Calorie,https://www.allrecipes.com/recipe/68813/spicy-basil-chicken/
Chinese Pork Chops,182,6,6.3 ,11.2,19.6 ,48 ,1235 ,Low Calorie,https://www.allrecipes.com/recipe/72007/chinese-pork-chops/
Easiest Eggplant,126,6,8 ,12.3,2.4 ,4 ,230 ,Low Calorie,https://www.allrecipes.com/recipe/70142/easiest-eggplant/
Hot and Sour Chinese Eggplant,153,4,7.8 ,21.1,3.4 ,0 ,1507 ,Low Calorie,https://www.allrecipes.com/recipe/52925/hot-and-sour-chinese-eggplant/
Cucumber Sunomono,27,5,0.2 ,6.2,0.6 ,0 ,467 ,Low Calorie,https://www.allrecipes.com/recipe/14050/cucumber-sunomono/
Baby Carrots with Dill Butter,44,8,2.7 ,4.9,0.4 ,0 ,148 ,Low Calorie,https://www.allrecipes.com/recipe/87201/baby-carrots-with-dill-butter/
Sauteed Portobellos and Spinach,146,4,11 ,6.6,6.6 ,28 ,359 ,Low Calorie,https://www.allrecipes.com/recipe/25889/sauteed-portobellos-and-spinach/
Stewed Cabbage,200,4,11.9 ,23.1,4.4 ,31 ,331 ,Low Calorie,https://www.allrecipes.com/recipe/20785/stewed-cabbage/
Strawberries with Balsamic Vinegar,60,6,0.2 ,14.9,0.5 ,0 ,2 ,Low Calorie,https://www.allrecipes.com/recipe/86390/strawberries-with-balsamic-vinegar/
Unsloppy Joes,204,8,3.9 ,34.6,7.8 ,0 ,489 ,Low Calorie,https://www.allrecipes.com/recipe/13893/unsloppy-joes/
Marinated Greek Chicken Kabobs,243,4,7.5 ,12.3,31 ,85 ,632 ,Low Calorie,https://www.allrecipes.com/recipe/70624/marinated-greek-chicken-kabobs/
Balsamic Marinated Chicken Breasts,222,4,4.3 ,8,35.7 ,97 ,244 ,Low Calorie,https://www.allrecipes.com/recipe/167195/balsamic-marinated-chicken-breasts/
Acorn Squash with Apple,98,6,2.9 ,19.2,1 ,5 ,211 ,Low Calorie,https://www.allrecipes.com/recipe/82736/acorn-squash-with-apple/
Mongolian Beef I,155,6,8.9 ,8.6,10.7 ,18 ,485 ,Low Calorie,https://www.allrecipes.com/recipe/22625/mongolian-beef-i/
Sweet and Savory Kale,121,6,6.8 ,14.1,2.5 ,0 ,83 ,Low Calorie,https://www.allrecipes.com/recipe/159199/sweet-and-savory-kale/
Spicy Lime Grilled Shrimp,69,8,2.3 ,2.2,9.5 ,86 ,633 ,Low Calorie,https://www.allrecipes.com/recipe/186625/spicy-lime-grilled-shrimp/
Best Beef and Broccoli,240,4,12.2 ,15.1,17.4 ,42 ,1179 ,Low Calorie,https://www.allrecipes.com/recipe/26591/best-beef-and-broccoli/
Scalloped Corn and Broccoli,183,5,6.2 ,26.5,8 ,86 ,847 ,Low Calorie,https://www.allrecipes.com/recipe/9560/scalloped-corn-and-broccoli/
Mom's Cucumbers,68,5,0.2 ,17,1.2 ,0 ,469 ,Low Calorie,https://www.allrecipes.com/recipe/13996/moms-cucumbers/
Ed Zieba's Famous Family Pork Chops,141,8,7.5 ,3.9,13.7 ,36 ,50 ,Low Calorie,https://www.allrecipes.com/recipe/104554/ed-ziebas-famous-family-pork-chops/
Cheesy Baked Cauliflower,162,5,13.1 ,6.6,6.9 ,34 ,246 ,Low Calorie,https://www.allrecipes.com/recipe/18266/cheesy-baked-cauliflower/
Veggie Burgers,193,8,4.3 ,31.9,6.9 ,27 ,158 ,Low Calorie,https://www.allrecipes.com/recipe/13995/veggie-burgers/
Chicken Honey Nut Stir Fry,235,6,7.9 ,12.9,27.4 ,69 ,529 ,Low Calorie,https://www.allrecipes.com/recipe/15646/chicken-honey-nut-stir-fry/
Indian Eggplant - Bhurtha,119,4,7.4 ,13.4,2.4 ,0 ,300 ,Low Calorie,https://www.allrecipes.com/recipe/80686/indian-eggplant-bhurtha/
Tomato Pork Loin Chops,193,4,12.4 ,8.6,12.8 ,31 ,340 ,Low Calorie,https://www.allrecipes.com/recipe/62883/tomato-pork-loin-chops/
Grandma's Pork Chops in Mushroom Gravy,209,6,8.1 ,10.7,19.2 ,59 ,609 ,Low Calorie,https://www.allrecipes.com/recipe/75947/grandmas-pork-chops-in-mushroom-gravy/
Brilliant Sauteed Broccoli,81,6,5.6 ,6.2,3.2 ,2 ,144 ,Low Calorie,https://www.allrecipes.com/recipe/138016/brilliant-sauteed-broccoli/
Creamed Spinach II,88,6,5.5 ,7.4,4.3 ,5 ,412 ,Low Calorie,https://www.allrecipes.com/recipe/25249/creamed-spinach-ii/
Beef Teriyaki,232,6,4.9 ,28.7,17.9 ,33 ,569 ,Low Calorie,https://www.allrecipes.com/recipe/23921/beef-teriyaki/
Chicken Taco Filling,149,4,2.4 ,6.3,22.3 ,60 ,935 ,Low Calorie,https://www.allrecipes.com/recipe/221256/chicken-taco-filling/
Easy Teriyaki Chops,156,4,3.8 ,7.1,22.6 ,65 ,1860 ,Low Calorie,https://www.allrecipes.com/recipe/14715/easy-teriyaki-chops/
Truly Delicious Brussels Sprouts,45,4,2.4 ,5.4,2 ,3 ,22 ,Low Calorie,https://www.allrecipes.com/recipe/221966/truly-delicious-brussels-sprouts/
Mustard Crusted Tilapia,181,2,2.6 ,2,35.1 ,62 ,151 ,Low Calorie,https://www.allrecipes.com/recipe/134489/mustard-crusted-tilapia/
Egg Fried Rice,145,4,2.7 ,24.6,4.9 ,46 ,848 ,Low Calorie,https://www.allrecipes.com/recipe/23298/egg-fried-rice/
"Black Beans, Corn, and Yellow Rice",100,8,4.4 ,15.1,2 ,0 ,195 ,Low Calorie,https://www.allrecipes.com/recipe/169474/black-beans-corn-and-yellow-rice/
Summer Lasagna,237,8,13.5 ,10.3,19.7 ,71 ,570 ,Low Calorie,https://www.allrecipes.com/recipe/73964/summer-lasagna/
Baked Tomatoes Oregano,110,4,5.4 ,14.2,3.9 ,4 ,103 ,Low Calorie,https://www.allrecipes.com/recipe/25243/baked-tomatoes-oregano/
Curry-Coconut Shrimp,191,4,6.1 ,8.5,24 ,173 ,175 ,Low Calorie,https://www.allrecipes.com/recipe/50836/curry-coconut-shrimp/
Twice Baked Potatoes I,186,8,4.4 ,32.6,4.9 ,12 ,57 ,Low Calorie,https://www.allrecipes.com/recipe/9232/twice-baked-potatoes-i/
Garlic Asparagus with Lime,73,4,4.5 ,7.2,2.9 ,3 ,11 ,Low Calorie,https://www.allrecipes.com/recipe/81473/garlic-asparagus-with-lime/
Honey Glazed Pea Pods and Carrots,102,6,5.9 ,11.7,1.5 ,15 ,66 ,Low Calorie,https://www.allrecipes.com/recipe/25280/honey-glazed-pea-pods-and-carrots/
Summerly Squash,65,6,4.8 ,5.4,1.5 ,0 ,395 ,Low Calorie,https://www.allrecipes.com/recipe/62761/summerly-squash/
Au Gratin Potatoes,199,12,10.2 ,20,7 ,27 ,462 ,Low Calorie,https://www.allrecipes.com/recipe/18243/au-gratin-potatoes/
Ropa Vieja in a Slow Cooker,291,6,17.3 ,14.1,19.7 ,69 ,179 ,Low Calorie,https://www.allrecipes.com/recipe/134253/ropa-vieja-in-a-slow-cooker/
Italian Kale,92,4,4.2 ,12.6,3.8 ,0 ,147 ,Low Calorie,https://www.allrecipes.com/recipe/141869/italian-kale/
Quick Lemon Dijon Chicken,301,2,3.1 ,10.5,55 ,137 ,984 ,Low Calorie,https://www.allrecipes.com/recipe/87079/quick-lemon-dijon-chicken/
Juicy Pork Chops,122,4,4.7 ,4,15.4 ,36 ,1827 ,Low Calorie,https://www.allrecipes.com/recipe/78189/juicy-pork-chops/
Cilantro-Lime Rice,115,6,0.3 ,25.2,2.3 ,< 1 ,66 ,Low Calorie,https://www.allrecipes.com/recipe/165532/cilantro-lime-rice/
Gina's Lemon Pepper Chicken,133,6,2.8 ,0.5,24.6 ,67 ,136 ,Low Calorie,https://www.allrecipes.com/recipe/8863/ginas-lemon-pepper-chicken/
Bubble 'n' Squeak,159,6,5.9 ,19.5,7.8 ,23 ,423 ,Low Calorie,https://www.allrecipes.com/recipe/18854/bubble-n-squeak/
"Spaghetti Squash with Pine Nuts, Sage, and Romano",150,4,9.4 ,13.7,5.6 ,13 ,134 ,Low Calorie,https://www.allrecipes.com/recipe/152211/spaghetti-squash-with-pine-nuts-sage-and-romano/
Tilapia with Creamy Sauce,173,4,7 ,3,23.6 ,47 ,480 ,Low Calorie,https://www.allrecipes.com/recipe/75021/tilapia-with-creamy-sauce/
Mom's Great Green Beans,38,7,1.7 ,4.6,1.2 ,4 ,550 ,Low Calorie,https://www.allrecipes.com/recipe/9161/moms-great-green-beans/
Spicy Spaghetti Squash,154,6,7.6 ,10.3,11.3 ,44 ,99 ,Low Calorie,https://www.allrecipes.com/recipe/15642/spicy-spaghetti-squash/
Amy's Spicy Beans and Rice,96,6,4.3 ,11.2,3.7 ,10 ,114 ,Low Calorie,https://www.allrecipes.com/recipe/25279/amys-spicy-beans-and-rice/
Pork Roast with Sauerkraut and Kielbasa,229,12,15.7 ,7.6,14.8 ,52 ,1358 ,Low Calorie,https://www.allrecipes.com/recipe/45382/pork-roast-with-sauerkraut-and-kielbasa/
Bacon-y Bok Choy,97,4,5.6 ,6.6,7.1 ,10 ,362 ,Low Calorie,https://www.allrecipes.com/recipe/76346/bacon-y-bok-choy/
Crab Ceviche,62,8,2 ,9.3,2.9 ,6 ,241 ,Low Calorie,https://www.allrecipes.com/recipe/73733/crab-ceviche/
Egg Foo Yung II,240,5,12.6 ,9.6,22 ,330 ,1443 ,Low Calorie,https://www.allrecipes.com/recipe/25140/egg-foo-yung-ii/
Yellow Squash Patties,150,12,5.9 ,18.8,6.2 ,28 ,953 ,Low Calorie,https://www.allrecipes.com/recipe/50454/yellow-squash-patties/
Kiki's Borracho (Drunken) Beans,181,12,1 ,31.8,9.6 ,< 1 ,1074 ,Low Calorie,https://www.allrecipes.com/recipe/75633/kikis-borracho-drunken-beans/
"Red, White, and Blueberry Fruit Salad",140,8,0.5 ,35.7,1.3 ,0 ,1 ,Low Fat,https://www.allrecipes.com/recipe/214674/red-white-and-blueberry-fruit-salad/
"Mango, Corn, and Black Bean Salsa",225,6,1.3 ,52.1,7 ,0 ,485 ,Low Fat,https://www.allrecipes.com/recipe/232132/mango-corn-and-black-bean-salsa/
"Orange, Honey and Soy Chicken",320,2,2.6 ,46.3,25.7 ,61 ,2112 ,Low Fat,https://www.allrecipes.com/recipe/230660/orange-honey-and-soy-chicken/
Tomato Cucumber Kachumbar,20,4,0.2 ,4.6,0.9 ,0 ,48 ,Low Fat,https://www.allrecipes.com/recipe/256599/tomato-cucumber-kachumbar/
Yellow Rice with Vegetables,206,6,1.4 ,42.8,4.4 ,0 ,1244 ,Low Fat,https://www.allrecipes.com/recipe/239087/yellow-rice-with-vegetables/
Brandied Cherry Clafouti,195,8,2.7 ,32.4,4.9 ,72 ,116 ,Low Fat,https://www.allrecipes.com/recipe/233498/brandied-cherry-clafouti/
"Pearl Couscous with Lentils, Carrots, Spinach, and Corn",178,8,2.2 ,30.7,6.2 ,1 ,324 ,Low Fat,https://www.allrecipes.com/recipe/228984/pearl-couscous-with-lentils-carrots-spinach-and-corn/
Cabbage Fat-Burning Soup,90,15,0.5 ,20.7,4 ,0 ,483 ,Low Fat,https://www.allrecipes.com/recipe/13116/cabbage-fat-burning-soup/
Beaker's Vegetable Barley Soup,188,8,1.6 ,37,6.9 ,0 ,969 ,Low Fat,https://www.allrecipes.com/recipe/78052/beakers-vegetable-barley-soup/
Quick and Easy Vegetable Soup,116,6,0.6 ,24.3,4 ,2 ,640 ,Low Fat,https://www.allrecipes.com/recipe/13338/quick-and-easy-vegetable-soup/
Angel Food Cake III,136,14,0.1 ,29.9,4 ,0 ,131 ,Low Fat,https://www.allrecipes.com/recipe/15432/angel-food-cake-iii/
Wonderful Banana Cake,102,24,2.5 ,19.1,1.1 ,< 1 ,194 ,Low Fat,https://www.allrecipes.com/recipe/7686/wonderful-banana-cake/
Apple Pie Filling,129,40,0.1 ,33.4,0.2 ,0 ,61 ,Low Fat,https://www.allrecipes.com/recipe/12681/apple-pie-filling/
Authentic French Meringues,31,36,0 ,7.5,0.4 ,0 ,6 ,Low Fat,https://www.allrecipes.com/recipe/58871/authentic-french-meringues/
Ultimate Maple Snickerdoodles,91,36,2.7 ,16.2,0.9 ,5 ,61 ,Low Fat,https://www.allrecipes.com/recipe/11466/ultimate-maple-snickerdoodles/
Canned Apple Pie Filling,97,56,0.1 ,25,0.1 ,0 ,85 ,Low Fat,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/
Macaron (French Macaroon),189,8,2.6 ,36.4,6.9 ,0 ,22 ,Low Fat,https://www.allrecipes.com/recipe/223234/macaron-french-macaroon/
Angel Food Cake I,137,16,0.1 ,30.9,3.4 ,0 ,74 ,Low Fat,https://www.allrecipes.com/recipe/7324/angel-food-cake-i/
Crock-Pot® Chicken Chili,386,5,2.9 ,62.9,28.8 ,37 ,1338 ,Low Fat,https://www.allrecipes.com/recipe/230792/crock-pot-chicken-chili/
Sweet Potato Minestrone,201,6,2.7 ,39.9,4.5 ,0 ,611 ,Low Fat,https://www.allrecipes.com/recipe/21013/sweet-potato-minestrone/
Egg-Free Low-Fat Oatmeal Cookies,77,24,1.9 ,14.3,1.5 ,0 ,70 ,Low Fat,https://www.allrecipes.com/recipe/11586/egg-free-low-fat-oatmeal-cookies/
Gazpacho,39,10,0.2 ,9.2,1.6 ,0 ,305 ,Low Fat,https://www.allrecipes.com/recipe/19770/gazpacho/
Slow Cooker Spicy Chicken,152,3,2.8 ,7.1,24.4 ,61 ,392 ,Low Fat,https://www.allrecipes.com/recipe/214731/slow-cooker-spicy-chicken/
Fortune Cookies I,54,6,0.1 ,12.4,1.1 ,0 ,9 ,Low Fat,https://www.allrecipes.com/recipe/9684/fortune-cookies-i/
Best Ever Split Pea,133,8,2.1 ,18.4,11.2 ,0 ,723 ,Low Fat,https://www.allrecipes.com/recipe/23860/best-ever-split-pea/
Sweet Zucchini Relish,47,112,0 ,11.9,0.2 ,0 ,313 ,Low Fat,https://www.allrecipes.com/recipe/172346/sweet-zucchini-relish/
Chocolate Pudding Cake II,171,12,3 ,36.1,2 ,< 1 ,139 ,Low Fat,https://www.allrecipes.com/recipe/8312/chocolate-pudding-cake-ii/
Easy BBQ Bake,433,4,1.7 ,79.5,28.3 ,68 ,939 ,Low Fat,https://www.allrecipes.com/recipe/16741/easy-bbq-bake/
Slow Cooker Vegetarian Minestrone,138,8,1.7 ,25.2,6.9 ,2 ,941 ,Low Fat,https://www.allrecipes.com/recipe/230298/slow-cooker-vegetarian-minestrone/
Soft Gingerbread Cookies,75,36,0.8 ,15.8,1.2 ,2 ,43 ,Low Fat,https://www.allrecipes.com/recipe/15293/soft-gingerbread-cookies/
Ladyfingers,25,48,0.4 ,4.6,0.8 ,16 ,11 ,Low Fat,https://www.allrecipes.com/recipe/10434/ladyfingers/
Winter Lentil Vegetable Soup,112,6,0.6 ,21.9,6.4 ,2 ,938 ,Low Fat,https://www.allrecipes.com/recipe/22142/winter-lentil-vegetable-soup/
Zucchini Cookies,81,36,2.7 ,13.4,1 ,5 ,99 ,Low Fat,https://www.allrecipes.com/recipe/20928/zucchini-cookies/
Beezie's Black Bean Soup,231,10,1.2 ,43.4,12.6 ,0 ,851 ,Low Fat,https://www.allrecipes.com/recipe/25691/beezies-black-bean-soup/
Sweet Potato Gnocchi,346,4,2.1 ,71.1,9.9 ,46 ,372 ,Low Fat,https://www.allrecipes.com/recipe/56311/sweet-potato-gnocchi/
Oven Baked Chicken Teriyaki,315,4,2.9 ,39.9,28.1 ,67 ,2185 ,Low Fat,https://www.allrecipes.com/recipe/228872/oven-baked-chicken-teriyaki/
Mom's Sushi Rice,181,10,0.2 ,40.7,2.9 ,0 ,296 ,Low Fat,https://www.allrecipes.com/recipe/137596/moms-sushi-rice/
"Chicken, Rice and Vegetable Soup",140,4,1 ,22.5,9.7 ,20 ,1102 ,Low Fat,https://www.allrecipes.com/recipe/15257/chicken-rice-and-vegetable-soup/
Cranberry Salsa,144,6,0.3 ,37.4,1.3 ,0 ,38 ,Low Fat,https://www.allrecipes.com/recipe/141135/cranberry-salsa/
The Original Treats™,147,12,2.7 ,30.9,1.3 ,0 ,178 ,Low Fat,https://www.allrecipes.com/recipe/70570/the-original-treats/
Divinity,67,48,1.1 ,14.9,0.4 ,0 ,5 ,Low Fat,https://www.allrecipes.com/recipe/9327/divinity/
